zipcode,degree
10001,6501.00
10002,9985.00
10003,28273.00
10004,775.00
10005,525.00
10006,833.00
10007,1601.00
10009,19453.00
10010,15115.00
10011,27395.00
10012,13234.00
10013,7459.00
10014,21160.00
10016,28580.00
10017,10406.00
10018,1814.00
10019,18659.00
10020,0.00
10021,65144.00
10022,19353.00
10023,37757.00
10024,36843.00
10025,41911.00
10026,3758.00
10027,9886.00
10028,28270.00
10029,6524.00
10030,1976.00
10031,4973.00
10032,5991.00
10033,7815.00
10034,5673.00
10035,1737.00
10036,8300.00
10037,2281.00
10038,3679.00
10039,1092.00
10040,5984.00
10041,0.00
10044,3048.00
10048,0.00
10069,1158.00
10103,0.00
10111,0.00
10112,0.00
10115,0.00
10119,0.00
10128,34520.00
10152,0.00
10153,0.00
10154,0.00
10162,1171.00
10165,11.00
10167,0.00
10169,0.00
10170,0.00
10171,0.00
10172,0.00
10173,0.00
10177,0.00
10271,0.00
10278,0.00
10279,0.00
10280,4244.00
10282,607.00
10301,7995.00
10302,1503.00
10303,2071.00
10304,5913.00
10305,4860.00
10306,7963.00
10307,1556.00
10308,3877.00
10309,4038.00
10310,3483.00
10312,9235.00
10314,15620.00
10451,2307.00
10452,2483.00
10453,3145.00
10454,783.00
10455,1259.00
10456,2755.00
10457,2959.00
10458,4822.00
10459,1558.00
10460,2225.00
10461,8223.00
10462,8537.00
10463,719.00
10463,14390.00
10464,1190.00
10465,4826.00
10466,7007.00
10467,9214.00
10468,5895.00
10469,8672.00
10470,2168.00
10471,8431.00
10472,3692.00
10473,3747.00
10474,206.00
10475,5910.00
11001,758.00
11004,3756.00
11005,1038.00
11040,348.00
11101,3380.00
11102,6277.00
11103,7448.00
11104,6226.00
11105,8467.00
11106,7882.00
11201,20853.00
11203,8701.00
11204,9457.00
11205,5085.00
11206,2912.00
11207,4286.00
11208,3851.00
11209,18574.00
11210,9873.00
11211,8441.00
11212,3759.00
11213,4836.00
11214,12613.00
11215,23929.00
11216,4454.00
11217,13089.00
11218,12464.00
11219,7054.00
11220,7049.00
11221,3832.00
11222,5951.00
11223,10749.00
11224,7123.00
11225,6153.00
11226,7833.00
11228,7064.00
11229,16123.00
11230,17258.00
11231,10501.00
11232,2280.00
11233,3692.00
11234,14510.00
11235,17959.00
11236,11493.00
11237,1879.00
11238,12038.00
11239,1532.00
11354,10119.00
11355,16653.00
11356,2723.00
11357,8165.00
11358,8147.00
11360,6549.00
11361,7476.00
11362,5440.00
11363,2429.00
11364,9736.00
11365,9536.00
11366,3885.00
11367,8724.00
11368,6773.00
11369,3035.00
11370,4440.00
11370,0.00
11371,0.00
11372,11587.00
11373,16533.00
11374,13387.00
11375,27023.00
11377,14059.00
11378,3717.00
11379,4354.00
11385,9041.00
11411,3530.00
11412,4202.00
11413,5906.00
11414,4073.00
11415,5933.00
11416,1461.00
11417,2147.00
11418,4607.00
11419,3366.00
11420,3682.00
11421,4200.00
11422,3993.00
11423,4891.00
11426,3628.00
11427,4514.00
11428,2759.00
11429,3139.00
11430,0.00
11432,10928.00
11433,2079.00
11434,6178.00
11435,7525.00
11436,1447.00
11691,5398.00
11692,1268.00
11693,918.00
11694,4951.00
11697,1038.00
