zip,household,income
10001,8772.00,40932.00
10002,31647.00,24022.00
10003,29743.00,60891.00
10004,574.00,101868.00
10005,612.00,79517.00
10006,793.00,81334.00
10007,1283.00,112947.00
10009,29084.00,40176.00
10010,15379.00,62467.00
10011,28708.00,61986.00
10012,13705.00,58313.00
10013,10095.00,38304.00
10014,20542.00,66601.00
10016,30871.00,66342.00
10017,11101.00,69273.00
10018,2205.00,48705.00
10019,22309.00,55869.00
10020,0.00,0.00
10021,61898.00,75472.00
10022,19615.00,80406.00
10023,37215.00,72424.00
10024,33688.00,78066.00
10025,46634.00,49733.00
10026,12233.00,22491.00
10027,21789.00,23150.00
10028,26171.00,77565.00
10029,27623.00,22232.00
10030,10982.00,17970.00
10031,20973.00,24285.00
10032,20636.00,26237.00
10033,19366.00,31348.00
10034,15288.00,29479.00
10035,11237.00,14896.00
10036,10844.00,41002.00
10037,8545.00,26561.00
10038,6602.00,31316.00
10039,8870.00,17370.00
10040,16225.00,27905.00
10041,0.00,0.00
10044,3214.00,49976.00
10048,0.00,0.00
10069,961.00,88091.00
10103,0.00,0.00
10111,0.00,0.00
10112,0.00,0.00
10115,0.00,0.00
10119,0.00,0.00
10128,32769.00,70031.00
10152,0.00,0.00
10153,0.00,0.00
10154,0.00,0.00
10162,966.00,108416.00
10165,6.00,2499.00
10167,0.00,0.00
10169,0.00,0.00
10170,0.00,0.00
10171,0.00,0.00
10172,0.00,0.00
10173,0.00,0.00
10177,0.00,0.00
10271,0.00,0.00
10278,0.00,0.00
10279,0.00,0.00
10280,3757.00,108536.00
10282,764.00,86066.00
10301,14359.00,45620.00
10302,5549.00,42452.00
10303,7394.00,42463.00
10304,13312.00,41041.00
10305,14162.00,48944.00
10306,20700.00,55413.00
10307,4063.00,64159.00
10308,9528.00,61868.00
10309,8799.00,65397.00
10310,8143.00,46198.00
10312,20024.00,67728.00
10314,30383.00,59560.00
10451,14925.00,20307.00
10452,22884.00,20606.00
10453,24125.00,21109.00
10454,11436.00,14271.00
10455,11992.00,19389.00
10456,25149.00,16664.00
10457,22262.00,19233.00
10458,25289.00,22072.00
10459,12497.00,17498.00
10460,18059.00,19517.00
10461,20189.00,40024.00
10462,28280.00,33735.00
10463,2873.00,25754.00
10463,24598.00,41800.00
10464,2085.00,57458.00
10465,15981.00,45650.00
10466,23622.00,37141.00
10467,34760.00,29044.00
10468,25724.00,26852.00
10469,21462.00,42102.00
10470,6529.00,38464.00
10471,9769.00,56488.00
10472,21824.00,23565.00
10473,19422.00,27733.00
10474,3400.00,16339.00
10475,16979.00,40528.00
11001,1106.00,56667.00
11004,5703.00,55156.00
11005,1582.00,55351.00
11040,554.00,63710.00
11101,9781.00,28872.00
11102,13769.00,35078.00
11103,17509.00,38482.00
11104,12379.00,37962.00
11105,16982.00,38674.00
11106,17723.00,34651.00
11201,21551.00,56293.00
11203,27849.00,37341.00
11204,25902.00,31798.00
11205,13180.00,28070.00
11206,22501.00,18661.00
11207,27631.00,24163.00
11208,25905.00,27078.00
11209,31571.00,44518.00
11210,19859.00,42967.00
11211,27879.00,23567.00
11212,28512.00,20839.00
11213,22652.00,26366.00
11214,31493.00,33765.00
11215,27469.00,53313.00
11216,22024.00,25135.00
11217,15726.00,49567.00
11218,25584.00,36432.00
11219,26610.00,26648.00
11220,28564.00,30152.00
11221,25322.00,22305.00
11222,15915.00,33578.00
11223,28178.00,32104.00
11224,20226.00,21281.00
11225,23452.00,30192.00
11226,35767.00,29498.00
11228,15808.00,44932.00
11229,30333.00,37812.00
11230,31485.00,32327.00
11231,14904.00,45154.00
11232,8371.00,28395.00
11233,22463.00,22754.00
11234,31174.00,51446.00
11235,32182.00,31013.00
11236,31693.00,42370.00
11237,14007.00,23104.00
11238,20889.00,39917.00
11239,6375.00,16919.00
11354,19811.00,37155.00
11355,28717.00,36973.00
11356,7074.00,48738.00
11357,15364.00,54910.00
11358,13875.00,51242.00
11360,8874.00,58803.00
11361,11172.00,55250.00
11362,7040.00,61053.00
11363,2653.00,67550.00
11364,13526.00,54031.00
11365,16037.00,50744.00
11366,4497.00,62325.00
11367,14592.00,45285.00
11368,27585.00,34746.00
11369,11069.00,39936.00
11370,9745.00,44429.00
11370,0.00,0.00
11371,0.00,0.00
11372,24893.00,39084.00
11373,33173.00,38151.00
11374,19315.00,40998.00
11375,33284.00,51350.00
11377,31545.00,37360.00
11378,13235.00,43107.00
11379,11827.00,49083.00
11385,34810.00,36434.00
11411,6607.00,62071.00
11412,11524.00,48536.00
11413,12715.00,56726.00
11414,11370.00,51175.00
11415,8565.00,45344.00
11416,7319.00,39692.00
11417,9238.00,42889.00
11418,11346.00,40924.00
11419,13397.00,43066.00
11420,13304.00,47584.00
11421,12124.00,44550.00
11422,9357.00,58396.00
11423,9544.00,46047.00
11426,6304.00,58065.00
11427,7887.00,51336.00
11428,5959.00,55219.00
11429,7759.00,54467.00
11430,20.00,85197.00
11432,18111.00,42414.00
11433,9132.00,31869.00
11434,19950.00,43133.00
11435,17788.00,40157.00
11436,5465.00,40194.00
11691,18078.00,27820.00
11692,5097.00,29059.00
11693,4167.00,37248.00
11694,7847.00,48604.00
11697,1871.00,58491.00
